musee,idMuseofile,museeLabel,villeLabel,description,labelTourismeHandicap,accessibilitePMRLabel
http://www.wikidata.org/entity/Q3329340,M0778,musée Sainte-Croix des Sables-d'Olonne,Les Sables-d'Olonne,"musée d'Art moderne et contemporain des Sables-d'Olonne, France",,
http://www.wikidata.org/entity/Q3329349,M1129,musée Soulages,Rodez,musée français d’art contemporain à Rodez,,
http://www.wikidata.org/entity/Q3329353,M1068,musée Stella Matutina,Saint-Leu,musée français,,
http://www.wikidata.org/entity/Q3329361,M0438,musée Tavet-Delacour,Pontoise,musée français,,
http://www.wikidata.org/entity/Q3329364,M0029,musée Théodore-Deck,Guebwiller,musée français,,
http://www.wikidata.org/entity/Q2386954,M0354,musées départementaux de la Haute-Saône,Champlitte,musées français,,
http://www.wikidata.org/entity/Q2386980,M0208,musée départemental breton,Quimper,musée à Quimper (Finistère),,
http://www.wikidata.org/entity/Q2388281,M0702,"musée du verre, de la pierre et du livre",Conches-en-Ouche,musée français,,
http://www.wikidata.org/entity/Q2389498,M1008,musée de la Révolution française,Vizille,"musée à Vizille, en Isère, en France",,
http://www.wikidata.org/entity/Q2391572,M0416,musée des Avelines,Saint-Cloud,musée français,,
http://www.wikidata.org/entity/Q18693190,M0484,musée Paul-Valéry,Sète,musée français,,
http://www.wikidata.org/entity/Q18693244,M0340,musée de Pontarlier,Pontarlier,musée français,,
http://www.wikidata.org/entity/Q18907746,M0134,musée des beaux-arts de Beaune,Beaune,musée français,,
http://www.wikidata.org/entity/Q19407119,M0596,musée Charles Portal,Cordes-sur-Ciel,musée français,,
http://www.wikidata.org/entity/Q19884277,M1128,musée des sapeurs-pompiers de Lyon,Lyon,musée français,,
http://www.wikidata.org/entity/Q19884277,M1128,musée des sapeurs-pompiers de Lyon,9e arrondissement de Lyon,musée français,,
http://www.wikidata.org/entity/Q19884277,M1128,musée des sapeurs-pompiers de Lyon,La Duchère,musée français,,
http://www.wikidata.org/entity/Q19917407,M0949,musée Comtadin-Duplessis,Carpentras,"musée de Carpentras, France",,
http://www.wikidata.org/entity/Q3330058,M0002,musée de la poterie de Betschdorf,Betschdorf,musée français,,
http://www.wikidata.org/entity/Q3330064,M0199,musée de la pêche de Concarneau,Concarneau,musée français,,
http://www.wikidata.org/entity/Q3330071,M0965,musée de la société d'histoire et d'archéologie de Briord,Briord,musée français,,
http://www.wikidata.org/entity/Q3330076,M0388,musée de la toile de Jouy,Jouy-en-Josas,musée français,,
http://www.wikidata.org/entity/Q3330084,M0398,musée de la ville de Saint-Quentin-en-Yvelines,Montigny-le-Bretonneux,musée français,,
http://www.wikidata.org/entity/Q3330088,M0810,musée de la vénerie de Senlis,Senlis,musée français,,
http://www.wikidata.org/entity/Q3329366,M0609,musée Théophile-Jouglet,Anzin,musée français,,
http://www.wikidata.org/entity/Q3329380,M0770-1,musée Vert,Le Mans,musée français,Tourisme et Handicap,
http://www.wikidata.org/entity/Q3329381,M0162,musée Verger-Tarin,Autun,musée français,,
http://www.wikidata.org/entity/Q3329386,M0165,musée Denon,Chalon-sur-Saône,musée français,,
http://www.wikidata.org/entity/Q3329384,M0736,musée Victor-Hugo,Villequier,musée français,,
http://www.wikidata.org/entity/Q3329384,M0736,musée Victor-Hugo,Rives-en-Seine,musée français,,
http://www.wikidata.org/entity/Q3329394,M0191,musée Zervos,Vézelay,musée français,,
http://www.wikidata.org/entity/Q21541566,M7060,Musée entomologique,Saint-Quentin,musée situé à Saint-Quentin,,
http://www.wikidata.org/entity/Q21541570,M0193,musée d'Art et d'histoire de Puisaye,Villiers-Saint-Benoît,musée situé à Villiers-Saint-Benoît,,
